target,bin_label,omni_var,mean_rho,median_rho,n_scenarios,perc_sig
sif_740nm,Cold,kp_max_lag9,-0.0329607957974076,-0.0523858629167079,3,66.66666666666666
sif_740nm,Cold,kp_max_lag90,0.08900308640052873,0.136416807770729,3,66.66666666666666
sif_740nm,Cold,kp_max_ma1,-0.030498115966717365,-0.0340780578553676,3,66.66666666666666
sif_740nm,Cold,kp_max_ma10,-0.0484235305339098,-0.0852078795433044,3,66.66666666666666
sif_740nm,Cold,kp_max_ma11,-0.05123008787631989,-0.091804563999176,3,66.66666666666666
sif_740nm,Cold,kp_max_ma12,-0.051126203189293534,-0.0929182171821594,3,66.66666666666666
sif_740nm,Cold,kp_max_ma13,-0.054926694681247064,-0.0960110202431678,3,66.66666666666666
sif_740nm,Cold,kp_max_ma14,-0.055022654434045165,-0.0975137650966644,3,66.66666666666666
sif_740nm,Cold,kp_max_ma15,-0.05664018541574476,-0.0982151105999946,3,66.66666666666666
sif_740nm,Cold,kp_max_ma16,-0.056066894903778995,-0.0955298319458961,3,66.66666666666666
sif_740nm,Cold,kp_max_ma17,-0.0567402113229036,-0.0938147231936454,3,66.66666666666666
sif_740nm,Cold,kp_max_ma18,-0.05765888467431069,-0.0927508920431137,3,66.66666666666666
sif_740nm,Cold,kp_max_ma19,-0.05637865451474983,-0.0910110846161842,3,66.66666666666666
sif_740nm,Cold,kp_max_ma2,-0.024246710818260898,-0.0371330305933952,3,66.66666666666666
sif_740nm,Cold,kp_max_ma20,-0.0566437424470981,-0.0894251614809036,3,66.66666666666666
sif_740nm,Cold,kp_max_ma21,-0.05665861008067927,-0.0896918103098869,3,66.66666666666666
sif_740nm,Cold,kp_max_ma22,-0.05840505162874857,-0.0906923040747642,3,66.66666666666666
sif_740nm,Cold,kp_max_ma23,-0.059127775952219935,-0.0913941115140914,3,66.66666666666666
sif_740nm,Cold,kp_max_ma24,-0.058532785934706504,-0.0904242172837257,3,66.66666666666666
sif_740nm,Cold,kp_max_ma25,-0.056716612229744605,-0.0876423195004463,3,66.66666666666666
sif_740nm,Cold,kp_max_ma26,-0.0551338375856479,-0.0860236287117004,3,66.66666666666666
sif_740nm,Cold,kp_max_ma27,-0.05482305958867073,-0.0835291296243667,3,66.66666666666666
sif_740nm,Cold,kp_max_ma28,-0.05281624725709357,-0.0805522426962852,3,66.66666666666666
