target,scenario,bin_id,bin_label,mode,n_windows,p_sii_win
sif_stress_index,SAA_High_LAI,2,Optimum,LAG,32,0.53125
sif_stress_index,SAA_High_LAI,2,Optimum,MA,34,0.7647058823529411
sif_stress_index,SAA_High_LAI,3,Warm_Stress,ALL,66,0.18181818181818182
sif_stress_index,SAA_High_LAI,3,Warm_Stress,LAG,32,0.28125
sif_stress_index,SAA_High_LAI,3,Warm_Stress,MA,34,0.08823529411764706
sif_stress_index,SAA_High_LAI,4,Extreme_Heat,ALL,66,0.6363636363636364
sif_stress_index,SAA_High_LAI,4,Extreme_Heat,LAG,32,0.5625
sif_stress_index,SAA_High_LAI,4,Extreme_Heat,MA,34,0.7058823529411765
sif_stress_index,Sahara_Barren,1,Cool,ALL,66,0.0
sif_stress_index,Sahara_Barren,1,Cool,LAG,32,0.0
sif_stress_index,Sahara_Barren,1,Cool,MA,34,0.0
sif_stress_index,Sahara_Barren,2,Optimum,ALL,66,0.030303030303030304
sif_stress_index,Sahara_Barren,2,Optimum,LAG,32,0.0625
sif_stress_index,Sahara_Barren,2,Optimum,MA,34,0.0
sif_stress_index,Sahara_Barren,3,Warm_Stress,ALL,66,0.2727272727272727
sif_stress_index,Sahara_Barren,3,Warm_Stress,LAG,32,0.3125
sif_stress_index,Sahara_Barren,3,Warm_Stress,MA,34,0.23529411764705882
sif_stress_index,Sahara_Barren,4,Extreme_Heat,ALL,66,0.9242424242424242
sif_stress_index,Sahara_Barren,4,Extreme_Heat,LAG,32,0.84375
sif_stress_index,Sahara_Barren,4,Extreme_Heat,MA,34,1.0
