metric,bin,mask,mode,sii_step,par_step,vpd_step,beta_sii,t_sii,p_sii,n_eff,n,t_par,t_vpd
sif_771nm,Extreme_Heat,Control_North,MA,4.0,1.0,16.0,0.00016290518,2.576516,0.0101777173128603,725.8549228330207,766.0,-3.077501,2.5876362
sif_771nm,Extreme_Heat,Sahara_Barren,MA,22.0,18.0,10.0,0.00112017,2.1583092,0.0330294922253966,116.48450929718057,96.0,-0.5796382,1.2015975
sif_stress_index,Cold,Global_High_LAI,MA,23.0,18.0,3.0,0.017729629,6.209108829498291,5.377764900060811e-10,42505.55019001656,37892.0,-0.1328022927045822,0.9802886843681335
sif_stress_index,Cold,SAA_High_LAI,MA,28.0,7.0,4.0,0.05759846,1.0766884,0.281922367740633,861.3315577865076,742.0,0.9223541,-1.0479252
sif_stress_index,Cold,Control_North,MA,22.0,16.0,5.0,0.016540049,5.982385,2.2181230185935874e-09,38873.55844361468,34604.0,-0.53560203,0.8905035
sif_stress_index,Cold,Sahara_Barren,MA,,,,,,,,,,
sif_stress_index,Cool,Global_High_LAI,MA,22.0,27.0,28.0,0.0131878145,6.972050666809082,3.155253835984695e-12,60799.80008370319,56468.0,0.3683022856712341,2.0372705459594727
sif_stress_index,Cool,SAA_High_LAI,MA,2.0,3.0,5.0,0.0049244007,1.213644,0.2249376808049132,5312.505581841141,4732.0,0.9999695,-1.3442167
sif_stress_index,Cool,Control_North,MA,22.0,28.0,23.0,0.01520821,7.6385636,2.242650509742816e-14,47724.47724727069,44626.0,2.392647,0.19932435
sif_stress_index,Cool,Sahara_Barren,MA,14.0,23.0,3.0,-0.01942904,-0.94335026,0.3460572231970551,414.0694800713096,387.0,1.3178706,-0.37015203
sif_stress_index,Optimum,Global_High_LAI,MA,1.0,28.0,1.0,0.0016580411,2.8159474832182108,0.0048642252776927,110186.8136130943,100881.0,3.965719586223725,-0.5101516072879576
sif_stress_index,Optimum,SAA_High_LAI,MA,15.0,8.0,1.0,0.007663181,1.8376175,0.0661354618330964,17784.180283846203,16107.0,2.1100626,-1.090419
sif_stress_index,Optimum,Control_North,MA,1.0,8.0,5.0,0.003309539,4.929711,8.274545639785913e-07,33424.47236148878,31846.0,-1.1340791,-0.19360344
sif_stress_index,Optimum,Sahara_Barren,MA,4.0,14.0,18.0,-0.014711997,-2.0357687,0.041929043884842,1696.4851915657875,1568.0,1.3990119,-1.3911316
sif_stress_index,Warm_Stress,Global_High_LAI,MA,2.0,7.0,25.0,-0.0014068069,-1.82481207165136,0.0680334218096025,74028.75469819772,68014.0,-2.0765961071337484,-2.8041621612561207
sif_stress_index,Warm_Stress,SAA_High_LAI,MA,16.0,8.0,10.0,-0.006827187,-1.4122308,0.1579047182334327,13701.232524808622,12063.0,-1.2477376,1.0518726
sif_stress_index,Warm_Stress,Control_North,MA,18.0,28.0,13.0,0.005429145,1.4177802,0.1563339233170935,3949.6647035068568,4075.0,0.4680214,-1.63215
sif_stress_index,Warm_Stress,Sahara_Barren,MA,28.0,1.0,13.0,0.040618967,1.0601056,0.2899317027181411,310.33272307595644,339.0,-0.60441303,-1.6312892
sif_stress_index,Extreme_Heat,Global_High_LAI,MA,3.0,1.0,25.0,-0.0015381563,-1.0936211347579956,0.2741369016919637,16755.506937735623,16262.0,-4.591282367706299,-6.394859313964844
sif_stress_index,Extreme_Heat,SAA_High_LAI,MA,28.0,28.0,13.0,-0.023956893,-1.5657163,0.1177392871916223,979.7590557345196,838.0,-0.9392507,0.30274868
sif_stress_index,Extreme_Heat,Control_North,MA,2.0,17.0,20.0,0.0058020214,2.0760643,0.0382960636043194,629.2317555939488,677.0,1.1281487,1.6856893
sif_stress_index,Extreme_Heat,Sahara_Barren,MA,28.0,28.0,18.0,0.08896179,3.1503274,0.0021010118951998,113.95705098259512,72.0,0.5061606,-0.8897001
