target,scenario,bin_id,bin_label,f_auc_lag,sii_auc_lag,f_auc_ma,sii_auc_ma,f_delta_acc,sii_delta_acc,delta_acc_diff,auc_ma_ratio
sif_740nm,SAA_High_LAI,4,Extreme_Heat,0.0849849986028041,0.0913933069429433,0.0869818466254449,0.0765989337772093,0.0019968480226408,-0.014794373165734,-0.0167912211883748,0.8806312667406825
sif_740nm,Sahara_Barren,1,Cool,0.0792391761262149,0.0307096256442594,0.0696072841938833,0.0236086479304275,-0.0096318919323315,-0.0071009777138319,0.0025309142184996,0.33916921488659507
sif_740nm,Sahara_Barren,2,Optimum,0.0095012184677534,0.0210412635277381,0.0052988986692263,0.0192993725872775,-0.0042023197985271,-0.0017418909404606,0.0024604288580664995,3.6421478861937606
sif_740nm,Sahara_Barren,3,Warm_Stress,0.0861772403090871,0.051546248378524,0.0889251260707144,0.0682709555306505,0.0027478857616273,0.0167247071521264,0.0139768213904991,0.7677352683915294
sif_740nm,Sahara_Barren,4,Extreme_Heat,0.2272928553386209,0.0938399904718576,0.1982358858901459,0.1409711451820452,-0.029056969448475,0.0471311547101875,0.0761881241586625,0.7111282831008992
sif_757nm,Control_North,0,Cold,0.0662594842085861,0.0794813966226323,0.0644266124139219,0.0830661384187756,-0.0018328717946641,0.0035847417961433,0.0054176135908073995,1.289314078553444
sif_757nm,Control_North,1,Cool,0.0181498932356821,0.015096784780277,0.0188696145239668,0.0281021362565585,0.0007197212882847,0.0130053514762815,0.012285630187996801,1.4892798271456593
sif_757nm,Control_North,2,Optimum,0.0101335397700185,0.016450679310252,0.0119777235509779,0.0232476432745142,0.0018441837809593,0.0067969639642621,0.0049527801833028,1.9409066485439288
sif_757nm,Control_North,3,Warm_Stress,0.0322985366993653,0.0220206575170722,0.0380272619450368,0.0603368784578585,0.0057287252456715,0.0383162209407862,0.032587495695114696,1.5866742797592737
sif_757nm,Control_North,4,Extreme_Heat,0.0315739699179938,0.0435908357383752,0.0419326055230351,0.0377503215207905,0.0103586356050413,-0.0058405142175846,-0.0161991498226259,0.9002617664684079
sif_757nm,Global_High_LAI,0,Cold,0.0630197171549675,0.0742693434948539,0.060857920876027,0.0751360891447293,-0.0021617962789404,0.0008667456498754,0.0030285419288158,1.234614789055778
sif_757nm,Global_High_LAI,1,Cool,0.0127160079465398,0.0113560171813407,0.0129932307402544,0.0185877464739046,0.0002772227937145,0.0072317292925638,0.0069545064988493,1.4305715680333297
sif_757nm,Global_High_LAI,2,Optimum,0.0278403864136281,0.0157770446311261,0.0273655985631487,0.0255843063969239,-0.0004747878504793,0.0098072617657978,0.0102820496162771,0.9349076117551641
sif_757nm,Global_High_LAI,3,Warm_Stress,0.024507496502176,0.0155888401558124,0.0246802550381118,0.0177113493981744,0.0001727585359358,0.002122509242362,0.0019497507064262002,0.7176323490508563
sif_757nm,Global_High_LAI,4,Extreme_Heat,0.1395602852193668,0.0214673941554724,0.1367235547704212,0.058465795716172,-0.0028367304489455,0.0369984015606996,0.0398351320096451,0.42762050631542314
sif_757nm,SAA_High_LAI,0,Cold,0.0230622495554639,0.0177417802457567,0.0231314876207096,0.0232152268641885,6.923806524572473e-05,0.0054734466184318,0.005404208553186076,1.003620140859593
sif_757nm,SAA_High_LAI,1,Cool,0.0123330112556263,0.0154807169820871,0.0136093866374339,0.0254028854881074,0.0012763753818076,0.0099221685060202,0.0086457931242126,1.8665709311420668
sif_757nm,SAA_High_LAI,2,Optimum,0.0233312716923872,0.0199290050542188,0.018914796866937,0.045138833662298,-0.0044164748254502,0.0252098286080791,0.029626303433529302,2.386429734342034
sif_757nm,SAA_High_LAI,3,Warm_Stress,0.0268553950549941,0.0114557542691742,0.0287394972498556,0.0170310216151276,0.0018841021948614,0.0055752673459534,0.0036911651510919997,0.5925998449820888
sif_757nm,SAA_High_LAI,4,Extreme_Heat,0.0923380964903379,0.0792987359262059,0.0971001323625382,0.0624966313220732,0.0047620358722002,-0.0168021046041326,-0.0215641404763328,0.6436307531356648
sif_757nm,Sahara_Barren,1,Cool,0.108246961806636,0.0412755994287109,0.1088794476660621,0.0333658195673717,0.0006324858594261,-0.0079097798613392,-0.0085422657207653,0.3064473624967872
sif_757nm,Sahara_Barren,2,Optimum,0.0423689891409451,0.0258416317980385,0.0429614928399494,0.0256822703549273,0.0005925036990043,-0.0001593614431111,-0.0007518651421154,0.5977974380593603
sif_757nm,Sahara_Barren,3,Warm_Stress,0.0155887398002761,0.0354320148742629,0.0067002485576268,0.0615324711263325,-0.0088884912426493,0.0261004562520695,0.0349889474947188,9.183610219398643
sif_757nm,Sahara_Barren,4,Extreme_Heat,0.0304632802271676,0.1185182684944157,0.0162565878003462,0.1767911632044676,-0.0142066924268213,0.0582728947100519,0.07247958713687319,10.875047419280857
