scenario,omni_var,bin_id,bin_label,temp_mean,rho,n_eff,neff_factor,n,p_adj,window,ci_lower,ci_upper,p_fdr,panel
Control_North,sii_mean_ma4,4,Extreme_Heat,31.04622840881348,0.023540548980236,532.7373046875,0.7869088649749756,677,0.5877215820402795,4,-0.06153532100785874,0.10827682256910061,0.8391827495257924,B
Control_North,sii_mean_ma4,3,Warm_Stress,27.02688217163086,0.0193210504949092,1876.7899169921875,0.4605619311332702,4075,0.4028479834704193,4,-0.02594959220136757,0.06451260769360888,0.4494094961128536,B
Control_North,sii_mean_ma4,1,Cool,10.97588348388672,0.0168534312397241,12095.4794921875,0.2710410952568054,44626,0.063814854889368,4,-0.0009686941769902902,0.034664853797405706,0.06999048600769393,B
Control_North,sii_mean_ma4,0,Cold,1.1378381252288818,0.0202300045639276,7725.609375,0.223257690668106,34604,0.0754006547328036,4,-0.0020707842908319926,0.042510681553116055,0.08840076761776972,B
Control_North,sii_mean_ma5,0,Cold,1.1378381252288818,0.0217845980077981,7602.56396484375,0.219701886177063,34604,0.0575157664865977,5,-0.000695341701134963,0.044242531234484093,0.06984057359086863,B
Control_North,sii_mean_ma5,1,Cool,10.97588348388672,0.0193195063620805,11998.783203125,0.2688742578029632,44626,0.0343264750389811,5,0.0014264948483857865,0.03720015114899577,0.03890333837751191,B
Control_North,sii_mean_ma5,3,Warm_Stress,27.02688217163086,0.0178055483847856,1841.52880859375,0.4519089162349701,4075,0.4450866401352187,5,-0.027896343453199423,0.0634331579891625,0.4580815804501541,B
Control_North,sii_mean_ma5,2,Optimum,19.04345321655273,0.0102942241355776,11826.0380859375,0.3713508248329162,31846,0.2629766190867364,5,-0.007730932793227914,0.02831269352132506,0.29804016829830127,B
Control_North,sii_mean_ma5,4,Extreme_Heat,31.04622840881348,0.0098922010511159,534.8907470703125,0.7900897264480591,677,0.8194485752215783,5,-0.07495214913169937,0.0945943567264031,0.8391827495257924,B
Control_North,sii_mean_ma6,2,Optimum,19.04345321655273,0.0135099198669195,11731.1845703125,0.3683723211288452,31846,0.143418603221457,6,-0.004587646462954296,0.031598639318705664,0.1681459486044668,B
Control_North,sii_mean_ma6,4,Extreme_Heat,31.04622840881348,0.0147041417658329,537.2496337890625,0.7935740351676941,677,0.7338213949413313,6,-0.06997791336999776,0.0991757871182037,0.8391827495257924,B
Control_North,sii_mean_ma6,3,Warm_Stress,27.02688217163086,0.0197085570544004,1818.4017333984373,0.4462335407733917,4075,0.4009475304778014,6,-0.026284092175261987,0.06561794492845148,0.4494094961128536,B
Control_North,sii_mean_ma6,1,Cool,10.97588348388672,0.0218848828226327,11917.404296875,0.2670506834983825,44626,0.0168878865107191,6,0.003931931277577749,0.03982373132902085,0.019799591081532737,B
Control_North,sii_mean_ma6,0,Cold,1.1378381252288818,0.0263681095093488,7519.09375,0.2172897309064865,34604,0.02222691958186,6,0.0037663181277481517,0.04894297444265622,0.02798945428826815,B
Control_North,sii_mean_ma7,0,Cold,1.1378381252288818,0.0289369467645883,7453.0830078125,0.2153821289539337,34604,0.0124802297255854,7,0.006237122906182944,0.0516069634467544,0.01632030041038091,B
Control_North,sii_mean_ma7,1,Cool,10.97588348388672,0.0230603907257318,11852.484375,0.265595942735672,44626,0.0120514780160556,7,0.0050588885147149825,0.04104695176862788,0.014633937590924656,B
Control_North,sii_mean_ma7,3,Warm_Stress,27.02688217163086,0.0193590112030506,1804.8839111328125,0.4429163038730621,4075,0.4111030607414885,7,-0.026805633130630713,0.06544125707782014,0.4494094961128536,B
Control_North,sii_mean_ma7,4,Extreme_Heat,31.04622840881348,0.0205290652811527,536.7175903320312,0.7927881479263306,677,0.6351138606579876,7,-0.06421947979564765,0.10498361697729683,0.8391827495257924,B
Control_North,sii_mean_ma7,2,Optimum,19.04345321655273,0.0152409169822931,11657.4033203125,0.3660554885864258,31846,0.0998723861903747,7,-0.002913513076624884,0.03338530396162558,0.12127361180259784,B
Control_North,sii_mean_ma8,4,Extreme_Heat,31.04622840881348,0.0347929075360298,534.856201171875,0.7900387048721313,677,0.4219662358513067,8,-0.05013922747870466,0.11922543544751847,0.8391827495257924,B
Control_North,sii_mean_ma8,2,Optimum,19.04345321655273,0.0161583144217729,11591.5546875,0.3639877736568451,31846,0.0819299739696197,8,-0.0020474037575104595,0.034353324817612274,0.10713919672950267,B
Control_North,sii_mean_ma8,3,Warm_Stress,27.02688217163086,0.0213241949677467,1794.966796875,0.4404826462268829,4075,0.3665702063520069,8,-0.024968458266373693,0.06752559095990493,0.4451209648560083,B
Control_North,sii_mean_ma8,1,Cool,10.97588348388672,0.026321142911911,11798.7783203125,0.2643924653530121,44626,0.004246407973423,8,0.008280543584065962,0.044344613511986014,0.005347328559125259,B
Control_North,sii_mean_ma8,0,Cold,1.1378381252288818,0.0312048625200986,7406.03125,0.2140223979949951,34604,0.0072391440263248,8,0.008434924870304384,0.05394245706375697,0.009845235875801729,B
Control_North,sii_mean_ma9,0,Cold,1.1378381252288818,0.0319052413105964,7363.87890625,0.2128042727708816,34604,0.0061791864484963,9,0.00907082124812442,0.05470640450625053,0.008753847468703092,B
Control_North,sii_mean_ma9,1,Cool,10.97588348388672,0.0285277795046567,11742.724609375,0.2631363868713379,44626,0.0019902714494854,9,0.01044561924794269,0.046591288681135795,0.0026026626647116767,B
Control_North,sii_mean_ma9,3,Warm_Stress,27.02688217163086,0.0223735477775335,1782.5667724609375,0.4374397099018097,4075,0.3451303495017881,9,-0.024080171781111277,0.06873085757170912,0.4451209648560083,B
Control_North,sii_mean_ma9,2,Optimum,19.04345321655273,0.0157224759459495,11532.017578125,0.3621182441711426,31846,0.0913508742829463,9,-0.002530301736999429,0.033964780728446727,0.11503443428222868,B
Control_North,sii_mean_ma9,4,Extreme_Heat,31.04622840881348,0.0548530519008636,533.3189697265625,0.7877680659294128,677,0.2059645466104855,9,-0.030194004970565378,0.13911158880711189,0.8391827495257924,B
Control_North,sii_mean_ma10,2,Optimum,19.04345321655273,0.0172536801546812,11493.4951171875,0.3609085977077484,31846,0.0643619648043223,10,-0.0010292591378363797,0.03552508865654641,0.08753227213387833,B
Control_North,sii_mean_ma10,1,Cool,10.97588348388672,0.0317727699875831,11687.03125,0.2618883848190307,44626,0.0005917995357327,10,0.0136500354628049,0.04987463699331887,0.0008048473685964721,B
Control_North,sii_mean_ma10,3,Warm_Stress,27.02688217163086,0.0255254693329334,1768.2498779296875,0.4339263439178467,4075,0.2833715738612719,10,-0.02111598819247989,0.07205606108835677,0.38538534045132977,B
Control_North,sii_mean_ma10,4,Extreme_Heat,31.04622840881348,0.0684035569429397,532.7841186523438,0.786978006362915,677,0.114786757939606,10,-0.01664222205264202,0.15246667477741344,0.8391827495257924,B
Control_North,sii_mean_ma10,0,Cold,1.1378381252288818,0.0330489352345466,7315.7744140625,0.2114141285419464,34604,0.0046980366538438,10,0.010140608362467728,0.055922589140583394,0.007220043042164113,B
Control_North,sii_mean_ma11,0,Cold,1.1378381252288818,0.0343321859836578,7292.66943359375,0.2107464224100113,34604,0.0033653539497018,11,0.011388878323469215,0.057239363369082655,0.0054486682995172,B
Control_North,sii_mean_ma11,1,Cool,10.97588348388672,0.0345018357038497,11656.0693359375,0.2611945867538452,44626,0.0001948195836498,11,0.016357418723260443,0.05262353670542392,0.00027599441017055003,B
Control_North,sii_mean_ma11,3,Warm_Stress,27.02688217163086,0.0297338832169771,1748.343017578125,0.4290412366390228,4075,0.2139953157176179,11,-0.017171088771748246,0.0765082703705327,0.3031600305999587,B
Control_North,sii_mean_ma11,4,Extreme_Heat,31.04622840881348,0.066275805234909,530.9960327148438,0.7843368053436279,677,0.1271855452387666,11,-0.018923012518598927,0.15051904645149453,0.8391827495257924,B
Control_North,sii_mean_ma11,2,Optimum,19.04345321655273,0.017865527421236,11462.123046875,0.3599234819412231,31846,0.05579278250711,11,-0.00044223565263875844,0.03616131837819322,0.07903977521840584,B
