scenario,omni_var,bin_id,bin_label,temp_mean,rho,n_eff,neff_factor,n,p_adj,window,ci_lower,ci_upper,p_fdr,panel
Control_North,sii_mean_ma27,1,Cool,10.881211280822754,-0.0240533165633678,7089.95361328125,0.1286672949790954,55103,0.0428396543678875,27,-0.04730494502326326,-0.0007756356044714669,0.051297384636549447,B
Control_North,sii_mean_ma27,0,Cold,-0.202696606516838,-0.0880763232707977,2969.4462890625,0.0462552197277545,64197,1.5333997402944275e-06,27,-0.1236553869543195,-0.05227110145752154,4.01043009000081e-06,B
Control_North,sii_mean_ma27,2,Optimum,19.00745964050293,0.0415242463350296,6679.66748046875,0.1830045878887176,36500,0.0006873553985951,27,0.017559317780746066,0.06544149134491693,0.007231077557466119,B
Control_North,sii_mean_ma28,0,Cold,-0.202696606516838,-0.0867814049124717,2969.901123046875,0.0462623052299022,64197,2.177036237061003e-06,28,-0.12236752288608022,-0.05097243719301852,4.712364212622333e-06,B
Control_North,sii_mean_ma28,4,Extreme_Heat,31.025331497192383,0.0623826161026954,290.7809143066406,0.3796095550060272,766,0.2890454168026228,28,-0.05302455488420386,0.1761453405766777,0.8165014919288702,B
Control_North,sii_mean_ma28,3,Warm_Stress,27.023475646972656,0.0854963138699531,1038.319091796875,0.2285033166408538,4544,0.0058392439058552,28,0.024786211518856262,0.145578115604448,0.04569725284362596,B
Control_North,sii_mean_ma28,2,Optimum,19.00745964050293,0.0421674065291881,6674.76416015625,0.1828702539205551,36500,0.000569093480822,28,0.01819459024078291,0.06609176775076045,0.007231077557466119,B
Control_North,sii_mean_ma28,1,Cool,10.881211280822754,-0.0244108438491821,7088.70458984375,0.1286446154117584,55103,0.0398595723131498,28,-0.047663923067638135,-0.0011313206879694957,0.051297384636549447,B
Control_North,sii_mean_ma30,1,Cool,10.881211280822754,-0.0260563362389802,7090.556640625,0.1286782324314117,55103,0.0282303061624351,30,-0.04930355811801971,-0.0027808975938872376,0.047816620370708274,B
Control_North,sii_mean_ma30,0,Cold,-0.202696606516838,-0.0847683772444725,2971.35595703125,0.0462849661707878,64197,3.707815735776165e-06,30,-0.12036075589721093,-0.04895834917589168,5.846431464749037e-06,B
Control_North,sii_mean_ma30,3,Warm_Stress,27.023475646972656,0.08822762966156,1035.9896240234375,0.2279906719923019,4544,0.004484843003699,30,0.027467815760950018,0.14833792180232389,0.04569725284362596,B
Control_North,sii_mean_ma30,2,Optimum,19.00745964050293,0.0407535731792449,6673.73388671875,0.1828420311212539,36500,0.0008683403840585,30,0.01677690299026327,0.06468340022632328,0.007231077557466119,B
Control_North,sii_mean_ma30,4,Extreme_Heat,31.025331497192383,0.0619016624987125,289.3027038574219,0.3776797652244568,766,0.2940273799939565,30,-0.053803029033452396,0.17596613812604642,0.8165014919288702,B
Control_North,sii_mean_ma40,3,Warm_Stress,27.023475646972656,0.0796341300010681,1039.00732421875,0.2286547869443893,4544,0.0102320581914496,40,0.01890683405303004,0.13977602532825795,0.04569725284362596,B
Control_North,sii_mean_ma40,0,Cold,-0.202696606516838,-0.0654700398445129,2966.4208984375,0.0462080910801887,64197,0.0003595215239409,40,-0.10122070932792776,-0.02955050014023572,0.00038199161918720626,B
Control_North,sii_mean_ma40,4,Extreme_Heat,31.025331497192383,0.0637524127960205,284.6330871582031,0.3715836703777313,766,0.2837517904220203,40,-0.05290387165944746,0.17869208017768673,0.8165014919288702,B
Control_North,sii_mean_ma40,2,Optimum,19.00745964050293,0.0334432572126388,6668.5478515625,0.1826999485492706,36500,0.0063091193035413,40,0.009448438608197583,0.057399584543289334,0.026813757040050526,B
Control_North,sii_mean_ma40,1,Cool,10.881211280822754,-0.0263279136270284,7084.03125,0.1285598129034042,55103,0.026696549144223,40,-0.049585356093173515,-0.0030419344418096002,0.04777277215282011,B
Control_North,sii_mean_ma50,4,Extreme_Heat,31.025331497192383,0.0149827413260936,276.24127197265625,0.3606283068656921,766,0.8042075222273284,50,-0.10321941311398444,0.1327676099011951,0.8573176981237859,B
Control_North,sii_mean_ma50,3,Warm_Stress,27.023475646972656,0.0761067271232605,1031.825439453125,0.2270742654800415,4544,0.0144736815060662,50,0.015146831513196493,0.1365029463260315,0.04569725284362596,B
Control_North,sii_mean_ma50,1,Cool,10.881211280822754,-0.0203351471573114,7073.60546875,0.1283705979585647,55103,0.087236917094392,50,-0.04361947639280728,0.0029712619240622237,0.09567919939384929,B
Control_North,sii_mean_ma50,0,Cold,-0.202696606516838,-0.0299748089164495,2959.847412109375,0.0461056977510452,64197,0.1030082436040797,50,-0.0659327184689128,0.0060608512310261955,0.10612970553147605,B
Control_North,sii_mean_ma50,2,Optimum,19.00745964050293,0.0311211608350276,6655.47509765625,0.1823417842388153,36500,0.0111158237421036,50,0.007100504080151141,0.05510592317238837,0.037793800723152235,B
Control_North,sii_mean_ma60,0,Cold,-0.202696606516838,0.0111619625240564,2955.23583984375,0.0460338629782199,64197,0.5441497928634447,60,-0.024905280200845693,0.04720018501079599,0.5441497928634447,B
Control_North,sii_mean_ma60,3,Warm_Stress,27.023475646972656,0.0650131106376648,1024.985595703125,0.2255690097808838,4544,0.037426342060729,60,0.0037945882139147832,0.1257461452939893,0.07069420167026588,B
Control_North,sii_mean_ma60,4,Extreme_Heat,31.025331497192383,0.0158630087971687,278.0504455566406,0.362990140914917,766,0.7922899420857219,60,-0.10196171018601902,0.13324881637845284,0.8573176981237859,B
Control_North,sii_mean_ma60,2,Optimum,19.00745964050293,0.0255248006433248,6642.58203125,0.1819885522127151,36500,0.0375007163709744,60,0.0014764339418350844,0.04954366113803794,0.09807879666254843,B
